Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
1,2017-07-01,2017,7,1,14.0,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR
2,2017-07-02,2017,7,2,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER
3,2017-07-03,2017,7,3,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK
4,2017-07-04,2017,7,4,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA
5,2017-07-05,2017,7,5,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA
6,2017-07-06,2017,7,6,216.0,Vesoul,Troyes,Flat stage,Marcel Kittel,GER
7,2017-07-07,2017,7,7,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER
8,2017-07-08,2017,7,8,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA
9,2017-07-09,2017,7,9,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL
10,2017-07-11,2017,7,11,178.0,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER
11,2017-07-12,2017,7,12,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER
12,2017-07-13,2017,7,13,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA
13,2017-07-14,2017,7,14,101.0,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA
14,2017-07-15,2017,7,15,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS
15,2017-07-16,2017,7,16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED
16,2017-07-18,2017,7,18,165.0,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS
17,2017-07-19,2017,7,19,183.0,La Mure,Serre Chevalier,High mountain stage,Primož Roglič,SLO
18,2017-07-20,2017,7,20,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA
19,2017-07-21,2017,7,21,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR
20,2017-07-22,2017,7,22,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL
21,2017-07-23,2017,7,23,103.0,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED
1,2016-07-02,2016,7,2,188.0,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR
2,2016-07-03,2016,7,3,183.0,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK
3,2016-07-04,2016,7,4,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR
4,2016-07-05,2016,7,5,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER
5,2016-07-06,2016,7,6,216.0,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL
6,2016-07-07,2016,7,7,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR
7,2016-07-08,2016,7,8,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR
8,2016-07-09,2016,7,9,184.0,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR
9,2016-07-10,2016,7,10,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED
10,2016-07-12,2016,7,12,197.0,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS
11,2016-07-13,2016,7,13,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK
12,2016-07-14,2016,7,14,178.0,Montpellier,Chalet Reynard,High mountain stage,Thomas De Gendt,BEL
13,2016-07-15,2016,7,15,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual time trial,Tom Dumoulin,NED
14,2016-07-16,2016,7,16,208.5,Montélimar,Villars-les-Dombes,Flat stage,Mark Cavendish,GBR
15,2016-07-17,2016,7,17,160.0,Bourg-en-Bresse,Culoz,High mountain stage,Jarlinson Pantano,COL
16,2016-07-18,2016,7,18,209.0,Moirans-en-Montagne,Bern,Flat stage,Peter Sagan,SVK
17,2016-07-20,2016,7,20,184.5,Bern,Finhaut-Émosson,High mountain stage,Ilnur Zakarin,RUS
18,2016-07-21,2016,7,21,17.0,Sallanches,Megève,Mountain time trial,Chris Froome,GBR
19,2016-07-22,2016,7,22,146.0,Albertville,Saint Gervais-les-Bains,High mountain stage,Romain Bardet,FRA
20,2016-07-23,2016,7,23,146.5,Megève,Morzine,High mountain stage,Ion Izagirre,ESP
21,2016-07-24,2016,7,24,113.0,Chantilly,Paris,Flat stage,André Greipel,GER
1,2015-07-04,2015,7,4,13.8,Utrecht,Utrecht,Individual time trial,Rohan Dennis,AUS
2,2015-07-05,2015,7,5,166.0,Utrecht,Zeeland,Flat stage,André Greipel,GER
3,2015-07-06,2015,7,6,159.5,Antwerp,Huy,Flat stage,Joaquim Rodríguez,ESP
4,2015-07-07,2015,7,7,223.5,Seraing,Cambrai,Medium mountain stage,Tony Martin,GER
5,2015-07-08,2015,7,8,189.5,Arras,Amiens,Flat stage,André Greipel,GER
6,2015-07-09,2015,7,9,191.5,Abbeville,Le Havre,Flat stage,Zdeněk Štybar,CZE
7,2015-07-10,2015,7,10,190.5,Livarot,Fougères,Flat stage,Mark Cavendish,GBR
8,2015-07-11,2015,7,11,181.5,Rennes,Mûr-de-Bretagne,Flat stage,Alexis Vuillermoz,FRA
9,2015-07-12,2015,7,12,28.0,Vannes,Plumelec,Team time trial,BMC Racing Team,
10,2015-07-14,2015,7,14,167.0,Tarbes,La Pierre Saint-Martin,High mountain stage,Chris Froome,GBR
11,2015-07-15,2015,7,15,188.0,Pau,Cauterets,High mountain stage,Rafał Majka,POL
12,2015-07-16,2015,7,16,195.0,Lannemezan,Plateau de Beille,High mountain stage,Joaquim Rodríguez,ESP
13,2015-07-17,2015,7,17,198.5,Muret,Rodez,Medium mountain stage,Greg Van Avermaet,BEL
14,2015-07-18,2015,7,18,178.5,Rodez,Mende,Medium mountain stage,Steve Cummings,GBR
15,2015-07-19,2015,7,19,183.0,Mende,Valence,Medium mountain stage,André Greipel,GER
16,2015-07-20,2015,7,20,201.0,Bourg-de-Péage,Gap,Medium mountain stage,Rubén Plaza Molina,ESP
17,2015-07-22,2015,7,22,161.0,Digne-les-Bains,Pra-Loup,High mountain stage,Simon Geschke,GER
18,2015-07-23,2015,7,23,186.5,Gap,Saint-Jean-de-Maurienne,High mountain stage,Romain Bardet,FRA
19,2015-07-24,2015,7,24,138.0,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,High mountain stage,Vincenzo Nibali,ITA
20,2015-07-25,2015,7,25,110.5,Modane,Alpe d'Huez,High mountain stage,Thibaut Pinot,FRA
21,2015-07-26,2015,7,26,109.5,Sèvres,Paris,Flat stage,André Greipel,GER
1,2014-07-05,2014,7,5,190.5,Leeds,Harrogate,Flat stage,Marcel Kittel,GER
2,2014-07-06,2014,7,6,201.0,York,Sheffield,Medium mountain stage,Vincenzo Nibali,ITA
3,2014-07-07,2014,7,7,155.0,Cambridge,London,Flat stage,Marcel Kittel,GER
4,2014-07-08,2014,7,8,163.5,Le Touquet-Paris-Plage,Lille Metropole,Flat stage,Marcel Kittel,GER
5,2014-07-09,2014,7,9,152.5,Ypres,Arenberg Porte du Hainaut,Medium mountain stage,Lars Boom,NED
6,2014-07-10,2014,7,10,194.0,Arras,Reims,Flat stage,André Greipel,GER
7,2014-07-11,2014,7,11,234.5,Épernay,Nancy,Flat stage,Matteo Trentin,ITA
8,2014-07-12,2014,7,12,161.0,Tomblaine,Gérardmer La Mauselaine,Medium mountain stage,Blel Kadri,FRA
9,2014-07-13,2014,7,13,170.0,Gérardmer,Mulhouse,Medium mountain stage,Tony Martin,GER
10,2014-07-14,2014,7,14,161.5,Mulhouse,La Planche des Belles Filles,High mountain stage,Vincenzo Nibali,ITA
11,2014-07-16,2014,7,16,187.5,Besançon,Oyonnax,Medium mountain stage,Tony Gallopin,FRA
12,2014-07-17,2014,7,17,185.5,Bourg-en-Bresse,Saint-Étienne,Flat stage,Alexander Kristoff,NOR
13,2014-07-18,2014,7,18,197.5,Saint-Étienne,Chamrousse,High mountain stage,Vincenzo Nibali,ITA
14,2014-07-19,2014,7,19,177.0,Grenoble,Risoul,High mountain stage,Rafał Majka,POL
15,2014-07-20,2014,7,20,222.0,Tallard,Nîmes,Flat stage,Alexander Kristoff,NOR
16,2014-07-22,2014,7,22,237.5,Carcassonne,Bagnères-de-Luchon,High mountain stage,Michael Rogers,AUS
17,2014-07-23,2014,7,23,124.5,Saint-Gaudens,Saint-Lary Pla d’Adet,High mountain stage,Rafał Majka,POL
18,2014-07-24,2014,7,24,145.5,Pau,Hautacam,High mountain stage,Vincenzo Nibali,ITA
19,2014-07-25,2014,7,25,208.5,Maubourguet Pays du Val d’Adour,Bergerac,Flat stage,Ramūnas Navardauskas,LTU
20,2014-07-26,2014,7,26,54.0,Bergerac,Périgueux,Individual time trial,Tony Martin,GER
21,2014-07-27,2014,7,27,137.5,Évry,Paris,Flat stage,Marcel Kittel,GER
1,2013-06-29,2013,6,29,213.0,Porto-Vecchio,Bastia,Flat stage,Marcel Kittel,GER
2,2013-06-30,2013,6,30,156.0,Bastia,Ajaccio,Medium mountain stage,Jan Bakelants,BEL
3,2013-07-01,2013,7,1,145.5,Ajaccio,Calvi,Medium mountain stage,Simon Gerrans,AUS
4,2013-07-02,2013,7,2,25.0,Nice,Nice,Team time trial,Orica–GreenEDGE,
5,2013-07-03,2013,7,3,228.5,Cagnes-sur-Mer,Marseille,Flat stage,Mark Cavendish,GBR
6,2013-07-04,2013,7,4,176.5,Aix-en-Provence,Montpellier,Flat stage,André Greipel,GER
7,2013-07-05,2013,7,5,205.5,Montpellier,Albi,Flat stage,Peter Sagan,SVK
8,2013-07-06,2013,7,6,195.0,Castres,Ax 3 Domaines,High mountain stage,Chris Froome,GBR
9,2013-07-07,2013,7,7,168.5,Saint-Girons,Bagnères-de-Bigorre,High mountain stage,Dan Martin,IRL
10,2013-07-09,2013,7,9,197.0,Saint-Gildas-des-Bois,Saint-Malo,Flat stage,Marcel Kittel,GER
11,2013-07-10,2013,7,10,33.0,Avranches,Mont Saint-Michel,Individual time trial,Tony Martin,GER
12,2013-07-11,2013,7,11,218.0,Fougères,Tours,Flat stage,Marcel Kittel,GER
