,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
1,A Lamusi,M,23.0,170.0,60.0,China,CHN,London,Judo,Judo Men's Extra-Lightweight,0,0,0
98,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0,France,FRA,London,Athletics,"Athletics Men's 1,500 metres",0,0,0
134,Abdelhak Aatakni,M,24.0,,64.0,Morocco,MAR,London,Boxing,Boxing Men's Light-Welterweight,0,0,0
164,Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,179.0,80.0,Russia,RUS,London,Athletics,Athletics Women's Javelin Throw,0,0,0
174,Luc Abalo,M,27.0,182.0,86.0,France,FRA,London,Handball,Handball Men's Handball,0,1,0
176,Mara Laura Abalo,F,30.0,182.0,73.0,Argentina,ARG,London,Rowing,Rowing Women's Coxless Pairs,0,0,0
197,Emanuele Abate,M,27.0,190.0,80.0,Italy,ITA,London,Athletics,Athletics Men's 110 metres Hurdles,0,0,0
216,Ilyas Abbadi,M,19.0,175.0,75.0,Algeria,ALG,London,Boxing,Boxing Men's Welterweight,0,0,0
249,Sohail Abbas,M,37.0,178.0,80.0,Pakistan,PAK,London,Hockey,Hockey Men's Hockey,0,0,0
255,Shakeel Abbasi,M,28.0,165.0,60.0,Pakistan,PAK,London,Hockey,Hockey Men's Hockey,0,0,0
256,Soulmaz Abbasi Azad,F,28.0,173.0,60.0,Iran,IRI,London,Rowing,Rowing Women's Single Sculls,0,0,0
260,Simona Abbate,F,28.0,171.0,64.0,Italy,ITA,London,Water Polo,Water Polo Women's Water Polo,0,0,0
290,Mohamed Ibrahim Abd El-Fatah Mohamed,M,34.0,185.0,98.0,Egypt,EGY,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",0,0,0
297,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,19.0,167.0,60.0,Egypt,EGY,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,0
422,Ibrahim Ramadan Ibrahim Abdelbaki,M,24.0,173.0,77.0,Egypt,EGY,London,Weightlifting,Weightlifting Men's Middleweight,0,0,0
427,Ragab Abdelhay Saad Abdelrazek Abdallah,M,21.0,170.0,94.0,Egypt,EGY,London,Weightlifting,Weightlifting Men's Light-Heavyweight,0,0,0
434,Sayed Abdelmonem Sayed Hamed,M,23.0,170.0,60.0,Egypt,EGY,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",0,0,0
